description,industry,level,size,line_code,value,status,Unit,Footnotes
New or improved goods obtained from others and improved,Other machinery & equipment,2,total,B0403,15,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Other manufacturing,2,total,B0403,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Electricity, gas, water, & waste services",1,total,B0403,6,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods obtained from others and improved,Construction,1,total,B0403,147,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Wholesale trade,1,total,B0403,93,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Machinery & equipment wholesaling,2,total,B0403,33,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Other wholesale trade,2,total,B0403,57,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Retail trade,1,total,B0403,120,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Accommodation & food services,1,total,B0403,189,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Transport, postal, & warehousing",1,total,B0403,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Information media & telecommunications,1,total,B0403,15,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Publishing,2,total,B0403,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Motion picture,2,total,B0403,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Telecommunications,2,total,B0403,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Financial & insurance services,1,total,B0403,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Finance,2,total,B0403,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Insurance,2,total,B0403,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Auxiliary,2,total,B0403,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Rental, hiring, & real estate services",1,total,B0403,57,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Professional, scientific, & technical services",1,total,B0403,114,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Computer systems design,2,total,B0403,18,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Other professional scientific,2,total,B0403,99,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Administrative & support services,1,total,B0403,81,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Education & training,1,total,B0403,33,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Health care & social assistance,1,total,B0403,132,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Arts & recreation services,1,total,B0403,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Other services,1,total,B0403,48,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,total,0,total,B0403,1236,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,total,0,6–19 employees,B0404,714,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and without significant improvements,total,0,20–49 employees,B0404,303,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and without significant improvements,total,0,50–99 employees,B0404,120,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and without significant improvements,total,0,100+ employees,B0404,87,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and without significant improvements,"Agriculture, forestry, & fishing",1,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Agriculture,2,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Commercial fishing,2,total,B0404,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Forestry & logging,2,total,B0404,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Agriculture, forestry, & fishing support services",2,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Mining,1,total,B0404,3,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods obtained from others and without significant improvements,Manufacturing,1,total,B0404,105,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Food, beverage, & tobacco",2,total,B0404,24,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Textile, clothing, footwear, & leather",2,total,B0404,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Wood & paper product,2,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Printing, publishing, & recorded media",2,total,B0404,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Petroleum, coal, chemical, & associated product",2,total,B0404,24,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Non-metallic mineral product,2,total,B0404,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Metal product,2,total,B0404,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Transport and industrial machinery & equipment,2,total,B0404,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Other machinery & equipment,2,total,B0404,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Other manufacturing,2,total,B0404,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Electricity, gas, water, & waste services",1,total,B0404,6,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods obtained from others and without significant improvements,Construction,1,total,B0404,93,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Wholesale trade,1,total,B0404,216,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Machinery & equipment wholesaling,2,total,B0404,87,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Other wholesale trade,2,total,B0404,126,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Retail trade,1,total,B0404,360,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Accommodation & food services,1,total,B0404,90,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Transport, postal, & warehousing",1,total,B0404,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Information media & telecommunications,1,total,B0404,15,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Publishing,2,total,B0404,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Motion picture,2,total,B0404,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Telecommunications,2,total,B0404,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Financial & insurance services,1,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Finance,2,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Insurance,2,total,B0404,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Auxiliary,2,total,B0404,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Rental, hiring, & real estate services",1,total,B0404,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,"Professional, scientific, & technical services",1,total,B0404,111,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Computer systems design,2,total,B0404,21,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Other professional scientific,2,total,B0404,93,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Administrative & support services,1,total,B0404,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Education & training,1,total,B0404,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Health care & social assistance,1,total,B0404,63,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Arts & recreation services,1,total,B0404,15,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,Other services,1,total,B0404,24,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and without significant improvements,total,0,total,B0404,1224,,Number of businesses,1 and 2 and 3 and 6
New or improved goods new to NZ: Yes,total,0,6–19 employees,B0501.01,2241,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods new to NZ: Yes,total,0,20–49 employees,B0501.01,744,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods new to NZ: Yes,total,0,50–99 employees,B0501.01,261,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods new to NZ: Yes,total,0,100+ employees,B0501.01,252,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods new to NZ: Yes,"Agriculture, forestry, & fishing",1,total,B0501.01,48,,Number of businesses,1 and 2 and 3 and 6
